item_id	i_category	i_brand	r_complement	r_substitute
170	1	1	[451, 1886, 2159, 45, 1107, 176, 1342, 161, 1536, 1827, 1045, 736, 23, 1079, 1899, 1331, 255, 1039, 744, 266, 471, 207, 1078, 230, 1400, 388, 352, 204, 1855, 2016, 1122, 660, 418, 2017, 2156, 1532, 1619, 21, 1711, 973, 1382, 1615, 411, 994, 1344, 1289]	[]
25	1	1	[2159, 2078, 1856, 561, 176, 531, 2086, 527, 1067, 2164, 476, 652, 635, 1292, 507, 340, 922, 720, 1759, 805, 1295, 566, 496, 508, 557, 21, 1902, 2027, 22]	[]
31	1	1	[]	[]
6	1	2	[1112, 14, 114, 478, 434, 50]	[180, 25, 14, 114, 50]
859	2	3	[1737, 1506, 316, 1988, 698, 1073, 846, 12, 1854, 1176, 341, 293, 157, 981, 1142, 1722, 647, 1002, 2017, 2135, 1177]	[647, 1235, 558, 1073, 846, 1854, 1101, 1722]
14	1	1	[1254, 6, 1843, 652, 25, 411, 269, 50]	[1983, 1254, 6, 25, 114, 484, 269, 50]
302	1	0	[]	[]
5	3	4	[266, 179, 1491, 322, 1753, 899, 821, 352, 290, 894]	[266, 350, 2024, 322, 899, 821, 1149, 741, 1167]
1338	4	5	[451, 2159, 1474, 45, 1138, 1342, 977, 1646, 23, 217, 1643, 815, 572, 1400, 2017, 1619, 434, 411, 346, 1289, 1083]	[1083, 1350, 217, 621, 1643, 1040, 1359, 1086, 1646, 1644, 977]
454	4	5	[618, 927, 1474, 1927, 1869, 45, 1003, 977, 1045, 23, 217, 614, 789, 705, 1779, 344, 1544, 1944, 972, 1338, 244, 2017, 1181, 973, 994, 1289]	[972, 217, 1869, 244, 1003, 1646, 1813, 977]
663	3	4	[1075, 1609, 1045, 1583, 1576, 23, 1796, 1039, 798, 266, 207, 694, 821, 352, 204, 1369, 20, 1532, 1619, 1753, 899, 973, 1382, 1615, 411, 1332]	[798, 787, 644, 1787, 1796, 352, 1075, 1369]
348	5	4	[293, 1202, 673, 1700, 674, 313, 1329, 1807, 361, 346, 629, 488]	[924, 1330, 2169, 1202, 673, 2178, 1216, 1721, 779, 2067, 1329, 1807, 2167, 346, 629, 1599]
352	3	4	[451, 1381, 1787, 1342, 1045, 1104, 23, 1899, 292, 186, 1900, 1039, 798, 266, 572, 435, 694, 663, 230, 587, 204, 1122, 1665, 2017, 211, 1619, 899, 1615, 434, 994]	[]
322	3	4	[266, 207, 5, 2024, 333, 1491, 1753, 899, 821, 146, 901]	[1583, 266, 5, 2024, 704, 899, 758, 821, 146, 1099, 901, 1109, 1143]
68	6	6	[927, 1057, 759, 2087, 1342, 1256, 1032, 448, 125, 642, 82, 271, 572, 297, 1647, 1127, 1181, 473, 727, 1340, 994, 837]	[]
630	6	2	[499, 151, 123, 82, 177, 271, 575, 778, 532, 28, 424, 852, 233, 166, 1647, 1290, 141, 1904, 1127, 1002, 1191, 299, 1, 1532, 853, 95, 280]	[]
7	2	7	[341, 1267, 1910, 378, 1737, 2017, 1839, 1881, 1606, 1605, 846, 184, 12, 1142]	[1910, 378, 551, 558, 705, 1592, 398, 1401, 12]
719	2	7	[1822, 1834, 378, 2172, 2320, 2017, 1601, 705, 335, 1606, 2404, 1605, 12, 2398, 1142, 140, 7]	[1910, 378, 1592, 184, 12, 7]
29	6	8	[188, 147, 1177, 1391, 334, 2135, 196, 66, 622, 140]	[]
2	7	6	[1128]	[1350, 1025, 130, 1128, 621, 1643, 336, 1040, 1359, 1302]
489	8	9	[1886, 2159, 45, 176, 1498, 1342, 2086, 1609, 1045, 23, 559, 652, 486, 635, 1016, 990, 1331, 507, 922, 744, 720, 471, 572, 230, 566, 1400, 496, 204, 994, 1662, 2017, 20, 1532, 1913, 1619, 21, 1902, 1382, 1615, 2027, 22, 1289, 175]	[1537, 176, 1498, 205, 198, 325, 23, 652, 559, 1292, 990, 507, 720, 496, 1662, 20, 21, 2027, 22, 1289, 175]
577	2	10	[2159, 2078, 561, 176, 531, 2086, 1067, 2164, 476, 23, 1292, 507, 922, 720, 490, 1759, 805, 566, 460, 496, 508, 204, 2017, 1902, 2027, 22, 1289]	[2078, 490, 1759, 1292, 566, 507, 460, 1902, 496, 2086, 2027, 1148, 2164]
1658	9	11	[1080, 1122, 2174, 427, 23, 1163, 486, 1450, 230, 1242, 325, 671, 1666, 1102, 2081, 1289, 138]	[1080, 427, 1163, 1450, 1242, 1102]
1080	9	12	[1658, 427, 23, 1163, 486, 1450, 557, 1666, 1102, 2081, 138]	[1658, 427, 1163, 1450, 703, 1242, 1102, 1209]
1450	9	11	[1080, 1658, 23, 1163, 1102, 1385]	[1080, 1658, 427, 1163, 1242, 2129, 1102, 919]
